Sample ID;COI-5P Seq. Length;OTU;Life Stage;Types;Genus;Species;Collectors;Collection Date;Country/Ocean;Sector;Exact Site;Exact Site 2;Lat;Lon;Elev;Habitat;Microhabitat;Sampling Protocol;Site Code;Collection Event ID;Microhabitat 2
EW-MI15-0149;658[0n];OTU#083;juvenile;Other;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah on Borne 1 Inselberg;2.20822;-54.4389;585;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0598;Borne1_SR4_ROOT;Roots
EW-MI15-0220;629[0n];OTU#083;juvenile;Other;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;hilltop forest on Borne 1 Inselberg;2.20976;-54.4369;600;inselberg hilltop forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-600;Borne1_FS2_TRUNK;Trunks
EW-MI15-0284;658[0n];OTU#085;Adult;Holotype;Martiodrilus;Martiodrilus feijooi;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest at base camp;2.23398;-54.4503;331;plateau forest;in the soil;Qualitative sampling in soil;MI15-Camp;Camp_SOIL;Soil
EW-MI15-0181;658[0n];OTU#085;adult;Paratype;Martiodrilus;Martiodrilus feijooi;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest at base camp;2.23398;-54.4503;331;plateau forest;in the soil;Qualitative sampling in soil;MI15-Camp;Camp_SOIL;Soil
EW-MI15-0195;623[0n];OTU#085;adult;Paratype;Martiodrilus;Martiodrilus feijooi;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest at base camp;2.23398;-54.4503;331;plateau forest;in the soil;Qualitative sampling in soil;MI15-Camp;Camp_SOIL;Soil
EW-MI15-0364;658[0n];OTU#085;adult;Paratype;Martiodrilus;Martiodrilus feijooi;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;tropical rainforest on DIADEMA project C trail;2.23446;-54.4485;323;tropical rainforest;in the soil;Qualitative sampling in soil;MI15-C-Sol;LayonC_HP_SOIL;Soil
EW-MI15-0245;588[0n];OTU#088;Adult;Holotype;Martiodrilus;Martiodrilus motoloi;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;lowland forest on DIADEMA project A trail;2.243;-54.465;327;lowland forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0588;LayonA_BF_TRUNK;Trunks
EW-MI15-0240;565[1n];OTU#088;adult;Paratype;Martiodrilus;Martiodrilus motoloi;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;lowland forest on DIADEMA project A trail;2.243;-54.465;327;lowland forest;in litter accumulation on granite rocks;Qualitative sampling on granite rocks;MI15-0590;LayonA_BF_ROCK;Litter
EW-MI15-0246;604[0n];OTU#088;adult;Paratype;Martiodrilus;Martiodrilus motoloi;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;lowland forest on DIADEMA project A trail;2.243;-54.465;327;lowland forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0588;LayonA_BF_TRUNK;Trunks
EW-MI15-0241;544[0n];OTU#088;Fragment;Other;Martiodrilus;Martiodrilus motoloi;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;lowland forest on DIADEMA project A trail;2.243;-54.465;327;lowland forest;Soil hand sorting (in the soil);Soil hand sorting (TSBF);MI15-0585;LayonA_BF_TSBF2;Soil
